UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №1	1	1603	1500	0	939	14	547	14	939	13	940	0	0	1	8	0.84%	77	8.08%	40	4.20%	688	72.19%	58	6.09%	8	0.84%	15	1.57%	46	4.83%
УИК №2	2	1403	1200	0	849	20	331	20	848	11	857	0	0	1	10	1.15%	86	9.91%	34	3.92%	616	70.97%	48	5.53%	8	0.92%	22	2.53%	33	3.80%
УИК №3	3	1882	2000	0	1172	32	796	32	1170	16	1186	0	0	1	12	0.99%	103	8.57%	52	4.33%	869	72.30%	67	5.57%	7	0.58%	20	1.66%	56	4.66%
УИК №4	4	944	800	0	577	7	216	7	576	6	577	0	0	1	8	1.37%	69	11.84%	34	5.83%	398	68.27%	32	5.49%	0	0.00%	9	1.54%	27	4.63%
УИК №5	5	1727	1800	0	1027	22	751	22	1023	18	1027	0	0	1	7	0.67%	109	10.43%	58	5.55%	733	70.14%	43	4.11%	7	0.67%	21	2.01%	49	4.69%
УИК №6	6	1414	1300	0	864	17	419	17	864	16	865	0	0	1	5	0.57%	88	9.99%	27	3.06%	629	71.40%	49	5.56%	4	0.45%	21	2.38%	42	4.77%
УИК №7	7	2318	2000	0	1328	28	644	28	1323	22	1329	0	0	1	22	1.63%	145	10.73%	75	5.55%	938	69.43%	69	5.11%	8	0.59%	28	2.07%	44	3.26%
УИК №8	8	1412	1500	0	894	21	585	21	892	10	903	0	0	1	8	0.88%	78	8.54%	22	2.41%	647	70.87%	79	8.65%	9	0.99%	22	2.41%	38	4.16%
УИК №9	9	1319	1500	0	828	17	655	17	825	13	829	0	0	1	14	1.66%	69	8.19%	27	3.21%	624	74.11%	33	3.92%	3	0.36%	13	1.54%	46	5.46%
УИК №10	10	1539	1500	0	888	30	582	30	884	21	893	0	0	1	6	0.66%	69	7.55%	36	3.94%	658	71.99%	57	6.24%	7	0.77%	23	2.52%	37	4.05%
УИК №11	11	2001	1500	0	1070	25	405	25	1067	20	1072	0	0	1	13	1.19%	111	10.16%	50	4.58%	731	66.94%	78	7.14%	5	0.46%	14	1.28%	70	6.41%
УИК №12	12	974	700	0	514	10	176	10	513	8	515	0	0	1	4	0.76%	44	8.41%	35	6.69%	373	71.32%	32	6.12%	5	0.96%	3	0.57%	19	3.63%
УИК №13	13	1772	2000	0	1024	22	954	22	1020	14	1028	0	0	1	12	1.15%	86	8.25%	38	3.65%	772	74.09%	51	4.89%	10	0.96%	13	1.25%	46	4.41%
УИК №14	14	1957	2000	0	1254	13	733	13	1254	26	1241	0	0	1	9	0.71%	115	9.08%	56	4.42%	904	71.35%	65	5.13%	7	0.55%	17	1.34%	68	5.37%
УИК №15	15	1835	1500	0	1000	251	248	251	1000	29	1222	1	0	1	8	0.64%	123	9.83%	54	4.32%	881	70.42%	76	6.08%	6	0.48%	24	1.92%	50	3.99%
УИК №16	16	1761	1500	0	1223	23	254	23	1220	38	1205	0	0	1	12	0.97%	131	10.54%	52	4.18%	813	65.41%	90	7.24%	11	0.88%	30	2.41%	66	5.31%
УИК №17	17	1654	1500	0	991	26	483	26	991	10	1007	0	0	1	13	1.28%	95	9.34%	58	5.70%	731	71.88%	37	3.64%	10	0.98%	20	1.97%	43	4.23%
УИК №18	18	1429	1500	0	758	26	716	26	755	5	776	0	0	1	11	1.41%	68	8.71%	27	3.46%	532	68.12%	63	8.07%	6	0.77%	21	2.69%	48	6.15%
УИК №19	19	1560	1500	0	1050	14	436	14	1045	17	1042	0	0	1	15	1.42%	76	7.18%	34	3.21%	766	72.33%	70	6.61%	2	0.19%	23	2.17%	56	5.29%
УИК №20	20	1456	1500	0	920	27	553	27	918	16	929	0	0	1	6	0.63%	86	9.10%	47	4.97%	630	66.67%	83	8.78%	8	0.85%	21	2.22%	48	5.08%
УИК №21	21	1662	1500	0	1074	26	400	26	1013	21	1018	0	0	1	10	0.96%	104	10.01%	38	3.66%	686	66.03%	80	7.70%	9	0.87%	19	1.83%	72	6.93%
УИК №22	22	1578	1500	0	954	43	503	43	954	21	976	0	0	1	9	0.90%	86	8.63%	45	4.51%	700	70.21%	53	5.32%	8	0.80%	24	2.41%	51	5.12%
УИК №23	23	1192	1100	0	723	25	352	25	719	16	728	0	0	1	7	0.94%	59	7.93%	29	3.90%	519	69.76%	46	6.18%	6	0.81%	13	1.75%	49	6.59%
УИК №24	24	1487	1600	0	855	21	724	21	853	14	860	0	0	1	12	1.37%	79	9.04%	21	2.40%	643	73.57%	53	6.06%	6	0.69%	10	1.14%	36	4.12%
УИК №25	25	1968	2000	0	1269	13	718	13	1259	13	1259	0	0	1	14	1.10%	116	9.12%	44	3.46%	914	71.86%	84	6.60%	8	0.63%	22	1.73%	57	4.48%
УИК №26	26	1067	1030	0	683	19	328	19	681	9	691	0	0	1	2	0.29%	48	6.86%	47	6.71%	510	72.86%	49	7.00%	2	0.29%	7	1.00%	26	3.71%
УИК №27	27	1354	1100	0	823	17	260	17	819	15	821	0	0	1	7	0.84%	76	9.09%	33	3.95%	584	69.86%	72	8.61%	2	0.24%	15	1.79%	32	3.83%
УИК №28	28	1244	1100	0	716	166	218	166	716	12	870	0	0	1	13	1.47%	67	7.60%	33	3.74%	659	74.72%	52	5.90%	5	0.57%	14	1.59%	27	3.06%
УИК №29	29	1532	1500	0	862	33	605	33	859	18	874	0	0	1	11	1.23%	81	9.08%	24	2.69%	630	70.63%	68	7.62%	8	0.90%	18	2.02%	34	3.81%
УИК №30	30	1350	1500	0	822	31	647	31	820	19	832	0	0	1	16	1.88%	84	9.87%	27	3.17%	580	68.16%	71	8.34%	4	0.47%	16	1.88%	34	3.99%
УИК №31	31	1892	1800	0	1510	15	275	15	1506	22	1499	0	0	1	17	1.12%	149	9.80%	77	5.06%	1125	73.96%	74	4.87%	7	0.46%	20	1.31%	30	1.97%
УИК №32	32	1679	2000	0	1241	16	743	16	1238	29	1225	0	0	1	11	0.88%	119	9.49%	64	5.10%	891	71.05%	66	5.26%	7	0.56%	26	2.07%	41	3.27%
УИК №33	33	2260	2300	0	1270	27	1003	27	1246	16	1257	0	0	1	9	0.71%	121	9.51%	57	4.48%	896	70.38%	74	5.81%	6	0.47%	30	2.36%	64	5.03%
УИК №34	34	1614	2000	0	1038	170	792	170	1037	11	1196	0	0	1	5	0.41%	98	8.12%	50	4.14%	927	76.80%	57	4.72%	5	0.41%	19	1.57%	35	2.90%
УИК №35	35	1147	1100	0	760	12	328	12	760	8	764	0	0	1	10	1.30%	84	10.88%	33	4.27%	538	69.69%	46	5.96%	5	0.65%	11	1.42%	37	4.79%
УИК №36	36	1683	1700	0	1033	41	626	41	1033	15	1059	0	0	1	10	0.93%	96	8.94%	41	3.82%	777	72.35%	62	5.77%	10	0.93%	25	2.33%	38	3.54%
УИК №37	37	949	1000	0	615	12	373	12	615	11	616	0	0	1	14	2.23%	58	9.25%	23	3.67%	437	69.70%	43	6.86%	3	0.48%	7	1.12%	31	4.94%
УИК №38	38	1674	1600	0	971	14	615	14	971	25	960	0	0	1	6	0.61%	85	8.63%	55	5.58%	708	71.88%	51	5.18%	5	0.51%	15	1.52%	35	3.55%
УИК №39	39	1792	2000	0	949	74	977	74	947	42	979	0	0	1	14	1.37%	87	8.52%	43	4.21%	695	68.07%	62	6.07%	3	0.29%	18	1.76%	57	5.58%
УИК №40	40	1815	2000	0	1111	31	858	31	1111	14	1128	0	0	1	9	0.79%	107	9.37%	53	4.64%	809	70.84%	60	5.25%	12	1.05%	20	1.75%	58	5.08%
УИК №41	41	951	1000	0	589	8	403	8	589	12	585	0	0	1	7	1.17%	55	9.21%	23	3.85%	424	71.02%	45	7.54%	1	0.17%	14	2.35%	16	2.68%
УИК №42	42	1687	1500	0	1069	22	409	22	1065	20	1067	0	0	1	10	0.92%	98	9.02%	32	2.94%	767	70.56%	66	6.07%	11	1.01%	28	2.58%	55	5.06%
УИК №43	43	2080	2030	0	1708	49	273	49	1707	31	1725	0	0	1	16	0.91%	173	9.85%	82	4.67%	1272	72.44%	107	6.09%	10	0.57%	23	1.31%	42	2.39%
УИК №44	44	1159	1000	0	764	21	215	21	761	10	772	0	0	1	7	0.90%	80	10.23%	37	4.73%	545	69.69%	59	7.54%	2	0.26%	7	0.90%	35	4.48%
УИК №45	45	1729	1800	0	1115	21	664	21	1115	19	1117	0	0	1	14	1.23%	87	7.66%	32	2.82%	813	71.57%	65	5.72%	8	0.70%	35	3.08%	63	5.55%
УИК №46	46	1745	1700	0	1149	13	535	13	1149	109	1053	3	0	1	5	0.43%	96	8.26%	52	4.48%	768	66.09%	65	5.59%	13	1.12%	15	1.29%	39	3.36%
УИК №47	47	2444	2100	0	1509	31	560	31	1504	31	1504	0	0	1	16	1.04%	160	10.42%	59	3.84%	1071	69.77%	105	6.84%	10	0.65%	28	1.82%	55	3.58%
УИК №48	48	995	1000	0	618	12	370	12	618	7	623	0	0	1	7	1.11%	62	9.84%	31	4.92%	444	70.48%	36	5.71%	5	0.79%	18	2.86%	20	3.17%
УИК №49	49	1813	2000	0	1166	24	810	24	1165	18	1171	0	0	1	13	1.09%	104	8.75%	63	5.30%	857	72.08%	75	6.31%	10	0.84%	13	1.09%	36	3.03%
УИК №50	50	2238	2000	0	1236	39	725	39	1234	18	1255	0	0	1	10	0.79%	136	10.68%	50	3.93%	923	72.51%	67	5.26%	3	0.24%	25	1.96%	41	3.22%
УИК №51	51	1484	1500	0	897	24	579	24	896	13	907	0	0	1	8	0.87%	91	9.89%	45	4.89%	660	71.74%	41	4.46%	9	0.98%	22	2.39%	31	3.37%
УИК №52	52	2574	2500	0	1636	29	835	29	1636	23	1642	0	0	1	16	0.96%	170	10.21%	57	3.42%	1131	67.93%	129	7.75%	4	0.24%	41	2.46%	94	5.65%
УИК №53	53	1905	2000	0	1158	21	821	21	1157	17	1161	0	0	1	8	0.68%	102	8.66%	48	4.07%	875	74.28%	54	4.58%	10	0.85%	17	1.44%	47	3.99%
УИК №54	54	1999	2000	0	1200	36	764	36	1193	22	1207	0	0	1	9	0.73%	108	8.79%	51	4.15%	907	73.80%	60	4.88%	5	0.41%	23	1.87%	44	3.58%
УИК №55	55	1419	1400	0	757	268	375	268	754	15	1007	0	0	1	2	0.20%	79	7.73%	40	3.91%	775	75.83%	59	5.77%	6	0.59%	15	1.47%	31	3.03%
УИК №56	56	1909	2000	0	1245	20	735	20	1236	21	1235	0	0	1	6	0.48%	102	8.12%	59	4.70%	961	76.51%	53	4.22%	9	0.72%	22	1.75%	23	1.83%
УИК №57	57	1977	2000	0	1217	9	774	9	1217	26	1200	0	0	1	16	1.31%	167	13.62%	56	4.57%	807	65.82%	91	7.42%	7	0.57%	31	2.53%	25	2.04%
УИК №58	58	1331	1100	0	966	14	120	14	963	26	951	0	0	1	6	0.61%	92	9.42%	32	3.28%	734	75.13%	46	4.71%	5	0.51%	13	1.33%	23	2.35%
УИК №59	59	2067	2000	0	1013	16	971	16	1013	9	1020	0	0	1	7	0.68%	80	7.77%	56	5.44%	779	75.70%	45	4.37%	6	0.58%	15	1.46%	32	3.11%
УИК №60	60	949	1000	0	548	42	410	42	548	10	580	0	0	1	5	0.85%	48	8.14%	27	4.58%	417	70.68%	41	6.95%	11	1.86%	10	1.69%	21	3.56%
УИК №61	61	1559	1500	0	925	14	561	14	925	9	930	0	0	1	6	0.64%	79	8.41%	41	4.37%	738	78.59%	33	3.51%	2	0.21%	9	0.96%	22	2.34%
УИК №62	62	407	500	0	96	292	112	291	96	15	372	0	0	1	4	1.03%	21	5.43%	33	8.53%	273	70.54%	22	5.68%	1	0.26%	9	2.33%	9	2.33%
УИК №63	63	281	300	0	188	93	19	93	188	12	269	0	0	1	2	0.71%	10	3.56%	15	5.34%	220	78.29%	9	3.20%	1	0.36%	4	1.42%	8	2.85%
УИК №104	104	1582	1500	0	1117	114	269	114	1003	17	1100	0	0	2	22	1.97%	116	10.38%	37	3.31%	799	71.53%	48	4.30%	6	0.54%	24	2.15%	48	4.30%
УИК №105	105	1771	1750	0	1291	19	440	19	1287	22	1284	0	0	2	9	0.69%	102	7.81%	54	4.13%	960	73.51%	81	6.20%	7	0.54%	21	1.61%	50	3.83%
УИК №106	106	1467	1500	0	866	24	610	24	866	4	886	0	0	2	7	0.79%	91	10.22%	28	3.15%	626	70.34%	62	6.97%	2	0.22%	17	1.91%	53	5.96%
УИК №107	107	1404	1500	0	983	14	503	14	983	6	991	0	0	2	7	0.70%	92	9.23%	48	4.81%	679	68.10%	85	8.53%	9	0.90%	14	1.40%	57	5.72%
УИК №108	108	1468	1500	0	914	88	498	88	822	10	900	0	0	2	1	0.11%	66	7.25%	23	2.53%	667	73.30%	67	7.36%	4	0.44%	18	1.98%	54	5.93%
УИК №109	109	1634	1500	0	1048	58	394	58	1048	21	1085	0	0	2	18	1.63%	88	7.96%	45	4.07%	777	70.25%	84	7.59%	4	0.36%	20	1.81%	49	4.43%
УИК №110	110	1450	1500	0	744	47	709	47	744	11	780	0	0	2	9	1.14%	80	10.11%	20	2.53%	579	73.20%	38	4.80%	3	0.38%	12	1.52%	39	4.93%
УИК №111	111	1726	1500	0	977	21	502	21	977	16	982	0	0	2	14	1.40%	96	9.62%	36	3.61%	707	70.84%	65	6.51%	6	0.60%	14	1.40%	44	4.41%
УИК №112	112	1901	1500	0	998	27	475	27	998	9	1016	0	0	2	13	1.27%	125	12.20%	46	4.49%	685	66.83%	63	6.15%	9	0.88%	21	2.05%	54	5.27%
УИК №113	113	1626	1500	0	941	26	533	26	939	17	948	0	0	2	9	0.93%	93	9.64%	33	3.42%	682	70.67%	61	6.32%	6	0.62%	19	1.97%	45	4.66%
УИК №114	114	1427	1200	0	994	61	145	61	993	6	1048	0	0	2	10	0.95%	85	8.06%	49	4.65%	794	75.33%	45	4.27%	11	1.04%	9	0.85%	45	4.27%
УИК №115	115	2114	2000	0	1229	32	739	32	1229	9	1252	0	0	2	11	0.87%	117	9.28%	57	4.52%	916	72.64%	67	5.31%	16	1.27%	23	1.82%	45	3.57%
УИК №116	116	2389	2000	0	1266	23	711	23	1266	21	1268	0	0	2	7	0.54%	124	9.62%	57	4.42%	928	71.99%	75	5.82%	14	1.09%	15	1.16%	48	3.72%
УИК №117	117	1801	1500	0	1026	22	452	22	1022	18	1026	0	0	2	15	1.44%	111	10.63%	40	3.83%	755	72.32%	43	4.12%	4	0.38%	20	1.92%	38	3.64%
УИК №118	118	1963	1500	0	977	18	505	18	976	10	984	0	0	2	8	0.80%	111	11.17%	30	3.02%	711	71.53%	63	6.34%	1	0.10%	20	2.01%	40	4.02%
УИК №119	119	2004	2000	0	1181	100	719	100	1181	23	1258	0	0	2	17	1.33%	124	9.68%	51	3.98%	883	68.93%	76	5.93%	10	0.78%	29	2.26%	68	5.31%
УИК №120	120	1743	1500	0	975	66	459	66	973	13	1026	0	0	2	9	0.87%	87	8.37%	30	2.89%	712	68.53%	83	7.99%	3	0.29%	27	2.60%	75	7.22%
УИК №121	121	1472	1500	0	870	83	547	83	860	13	930	0	0	2	17	1.80%	66	6.99%	38	4.03%	659	69.88%	80	8.48%	3	0.32%	14	1.48%	53	5.62%
УИК №122	122	1458	1500	0	954	19	527	13	935	12	936	0	0	2	8	0.84%	78	8.23%	31	3.27%	672	70.89%	69	7.28%	17	1.79%	25	2.64%	36	3.80%
УИК №123	123	1644	1500	0	891	21	588	21	891	11	901	0	0	2	17	1.86%	94	10.31%	48	5.26%	614	67.32%	50	5.48%	7	0.77%	23	2.52%	48	5.26%
УИК №124	124	1777	1500	0	951	14	535	14	949	17	946	0	0	2	10	1.04%	91	9.45%	40	4.15%	658	68.33%	65	6.75%	7	0.73%	15	1.56%	60	6.23%
УИК №125	125	1578	1500	0	955	19	526	19	954	24	949	0	0	2	7	0.72%	77	7.91%	34	3.49%	709	72.87%	52	5.34%	5	0.51%	24	2.47%	41	4.21%
УИК №126	126	1299	1500	0	839	23	638	23	838	15	846	0	0	2	6	0.70%	76	8.83%	49	5.69%	620	72.01%	47	5.46%	10	1.16%	7	0.81%	31	3.60%
УИК №127	127	1467	1500	0	841	84	575	84	841	9	916	0	0	2	11	1.19%	101	10.92%	28	3.03%	639	69.08%	49	5.30%	10	1.08%	22	2.38%	56	6.05%
УИК №128	128	1820	1500	0	1052	23	425	23	1050	13	1060	0	0	2	8	0.75%	90	8.39%	46	4.29%	786	73.25%	47	4.38%	13	1.21%	18	1.68%	52	4.85%
УИК №129	129	1491	1500	0	959	12	529	12	957	16	953	0	0	2	6	0.62%	92	9.49%	54	5.57%	700	72.24%	46	4.75%	10	1.03%	16	1.65%	29	2.99%
УИК №130	130	2137	2000	0	1032	33	935	33	1030	9	1054	0	0	2	14	1.32%	79	7.43%	57	5.36%	761	71.59%	55	5.17%	6	0.56%	20	1.88%	62	5.83%
УИК №131	131	1322	1000	0	795	5	199	5	794	10	789	1	0	2	10	1.25%	82	10.26%	32	4.01%	529	66.21%	65	8.14%	7	0.88%	28	3.50%	36	4.51%
УИК №132	132	1750	2000	0	1233	126	641	126	1233	7	1352	0	0	2	6	0.44%	118	8.68%	60	4.42%	962	70.79%	97	7.14%	8	0.59%	24	1.77%	77	5.67%
УИК №133	133	2067	1800	0	1234	103	463	103	1232	26	1309	0	0	2	11	0.82%	105	7.87%	63	4.72%	983	73.63%	66	4.94%	13	0.97%	20	1.50%	48	3.60%
УИК №134	134	1996	1800	0	1496	17	287	17	1495	23	1489	0	0	2	8	0.53%	87	5.75%	96	6.35%	1138	75.26%	83	5.49%	12	0.79%	22	1.46%	43	2.84%
УИК №135	135	2060	2000	0	1122	39	839	39	1120	20	1139	0	0	2	15	1.29%	126	10.87%	43	3.71%	790	68.16%	79	6.82%	6	0.52%	28	2.42%	52	4.49%
УИК №136	136	1598	1500	0	1058	163	279	163	1056	10	1209	0	0	2	20	1.64%	97	7.96%	35	2.87%	872	71.53%	73	5.99%	9	0.74%	31	2.54%	72	5.91%
УИК №137	137	1406	1600	0	1278	20	302	20	1278	22	1276	0	0	2	16	1.23%	113	8.71%	47	3.62%	928	71.49%	87	6.70%	8	0.62%	24	1.85%	53	4.08%
УИК №138	138	2151	1600	0	1378	18	204	18	1376	22	1372	0	0	2	21	1.51%	183	13.13%	47	3.37%	929	66.64%	99	7.10%	10	0.72%	34	2.44%	49	3.52%
УИК №139	139	1601	1500	0	1047	79	374	79	1046	16	1109	0	0	2	12	1.07%	87	7.73%	45	4.00%	783	69.60%	87	7.73%	13	1.16%	25	2.22%	57	5.07%
УИК №140	140	1602	1500	0	1020	25	455	25	1018	16	1027	0	0	2	17	1.63%	99	9.49%	37	3.55%	673	64.53%	106	10.16%	6	0.58%	29	2.78%	60	5.75%
УИК №141	141	1793	1500	0	983	13	504	13	983	14	982	0	0	2	7	0.70%	113	11.35%	54	5.42%	704	70.68%	47	4.72%	8	0.80%	10	1.00%	39	3.92%
УИК №142	142	1652	1500	0	988	111	401	111	985	18	1078	0	0	2	8	0.73%	91	8.30%	44	4.01%	781	71.26%	56	5.11%	11	1.00%	24	2.19%	63	5.75%
УИК №143	143	1006	1000	0	643	11	346	11	643	12	642	0	0	2	11	1.68%	64	9.79%	26	3.98%	457	69.88%	24	3.67%	3	0.46%	14	2.14%	43	6.57%
УИК №144	144	1357	1500	0	878	28	594	28	876	4	900	0	0	2	10	1.11%	77	8.52%	33	3.65%	676	74.78%	52	5.75%	6	0.66%	8	0.88%	38	4.20%
УИК №145	145	2109	1500	0	1320	25	155	25	1320	24	1321	0	0	2	15	1.12%	146	10.86%	33	2.45%	925	68.77%	107	7.96%	4	0.30%	35	2.60%	56	4.16%
УИК №146	146	1483	1500	0	769	5	726	5	768	3	770	0	0	2	3	0.39%	68	8.80%	41	5.30%	595	76.97%	34	4.40%	7	0.91%	8	1.03%	14	1.81%
УИК №147	147	2041	2000	0	1022	19	959	19	1022	19	1022	0	0	2	12	1.15%	97	9.32%	39	3.75%	745	71.57%	57	5.48%	6	0.58%	18	1.73%	48	4.61%
УИК №148	148	2623	2000	0	1451	66	483	66	1449	13	1502	0	0	2	12	0.79%	149	9.83%	40	2.64%	1048	69.17%	108	7.13%	15	0.99%	40	2.64%	90	5.94%
УИК №149	149	1752	1500	0	1304	45	151	45	1303	30	1318	0	0	2	16	1.19%	151	11.20%	53	3.93%	914	67.80%	76	5.64%	7	0.52%	31	2.30%	70	5.19%
УИК №150	150	1417	1500	0	896	27	577	27	896	12	911	0	0	2	8	0.87%	88	9.53%	23	2.49%	674	73.02%	57	6.18%	4	0.43%	19	2.06%	38	4.12%
УИК №151	151	1957	2000	0	1330	32	638	32	1330	20	1342	0	0	2	14	1.03%	130	9.54%	39	2.86%	973	71.44%	84	6.17%	8	0.59%	17	1.25%	77	5.65%
УИК №152	152	1624	1500	0	1174	38	288	38	1172	7	1203	0	0	2	6	0.50%	105	8.68%	37	3.06%	884	73.06%	64	5.29%	13	1.07%	24	1.98%	70	5.79%
УИК №153	153	2440	2000	0	1541	51	408	51	1538	18	1571	0	0	2	14	0.88%	139	8.75%	55	3.46%	1151	72.44%	100	6.29%	9	0.57%	33	2.08%	70	4.41%
УИК №154	154	1961	2000	0	1381	52	567	52	1381	19	1414	0	0	2	10	0.70%	151	10.54%	49	3.42%	1000	69.78%	90	6.28%	15	1.05%	34	2.37%	65	4.54%
УИК №155	155	1218	1000	0	862	14	124	14	859	19	854	0	0	2	5	0.57%	109	12.49%	21	2.41%	537	61.51%	105	12.03%	8	0.92%	27	3.09%	42	4.81%
УИК №156	156	2242	2000	0	1398	31	571	31	1397	26	1402	0	0	2	7	0.49%	115	8.05%	64	4.48%	1060	74.23%	58	4.06%	10	0.70%	24	1.68%	64	4.48%
УИК №157	157	1678	1550	0	1215	18	317	18	1215	27	1206	0	0	2	7	0.57%	165	13.38%	36	2.92%	847	68.69%	71	5.76%	5	0.41%	21	1.70%	54	4.38%
УИК №158	158	2686	2650	0	2055	1	594	1	2055	94	1962	0	0	2	19	0.92%	335	16.29%	72	3.50%	1246	60.60%	151	7.34%	7	0.34%	53	2.58%	79	3.84%
УИК №159	159	1357	1500	0	951	51	498	51	947	13	985	0	0	2	7	0.70%	94	9.42%	46	4.61%	739	74.05%	34	3.41%	6	0.60%	14	1.40%	45	4.51%
УИК №160	160	1533	1500	0	984	40	476	40	984	17	1007	0	0	2	14	1.37%	81	7.91%	34	3.32%	769	75.10%	51	4.98%	2	0.20%	15	1.46%	41	4.00%
УИК №161	161	1558	1500	0	985	59	456	59	982	15	1026	0	0	2	12	1.15%	85	8.17%	29	2.79%	779	74.83%	46	4.42%	8	0.77%	15	1.44%	52	4.99%
УИК №162	162	1424	1500	0	998	67	435	67	998	11	1054	0	0	2	10	0.94%	110	10.33%	38	3.57%	775	72.77%	48	4.51%	11	1.03%	15	1.41%	47	4.41%
УИК №163	163	1188	1000	0	780	30	190	30	778	14	794	0	0	2	7	0.87%	84	10.40%	31	3.84%	579	71.66%	38	4.70%	8	0.99%	17	2.10%	30	3.71%
УИК №164	164	1801	1500	0	1295	29	176	29	1295	22	1302	0	0	2	8	0.60%	104	7.85%	59	4.46%	983	74.24%	74	5.59%	7	0.53%	20	1.51%	47	3.55%
УИК №165	165	1769	1500	0	1095	41	364	41	1095	16	1120	0	0	2	24	2.11%	109	9.60%	46	4.05%	823	72.45%	60	5.28%	3	0.26%	21	1.85%	34	2.99%
УИК №166	166	1816	1500	0	1142	25	333	25	1142	19	1148	0	0	2	13	1.11%	100	8.57%	50	4.28%	849	72.75%	55	4.71%	10	0.86%	18	1.54%	53	4.54%
УИК №167	167	1938	2000	0	1055	12	933	12	1040	16	1036	0	0	2	6	0.57%	114	10.84%	27	2.57%	741	70.44%	72	6.84%	8	0.76%	26	2.47%	42	3.99%
УИК №168	168	2577	2000	0	1662	12	326	12	1629	19	1622	0	0	2	9	0.55%	174	10.60%	39	2.38%	1145	69.77%	123	7.50%	6	0.37%	43	2.62%	83	5.06%
УИК №169	169	1537	1500	0	968	12	520	12	966	16	962	0	0	2	7	0.72%	85	8.69%	35	3.58%	745	76.18%	35	3.58%	7	0.72%	13	1.33%	35	3.58%
УИК №170	170	2308	2000	0	1398	22	580	22	1392	15	1399	0	0	2	12	0.85%	135	9.55%	47	3.32%	1022	72.28%	78	5.52%	12	0.85%	37	2.62%	56	3.96%
УИК №171	171	1378	1500	0	1100	33	367	33	1100	15	1118	0	0	2	11	0.97%	98	8.65%	49	4.32%	794	70.08%	53	4.68%	9	0.79%	21	1.85%	83	7.33%
УИК №172	172	2013	2000	0	1370	35	595	35	1368	14	1389	0	0	2	13	0.93%	144	10.26%	52	3.71%	984	70.14%	83	5.92%	12	0.86%	29	2.07%	72	5.13%
УИК №173	173	1823	1500	0	1178	34	288	34	1177	17	1194	0	0	2	9	0.74%	101	8.34%	45	3.72%	866	71.51%	73	6.03%	10	0.83%	21	1.73%	69	5.70%
УИК №174	174	1913	2000	0	1245	29	726	29	1245	16	1258	0	0	2	19	1.49%	118	9.26%	45	3.53%	897	70.41%	77	6.04%	9	0.71%	24	1.88%	69	5.42%
УИК №175	175	1682	1500	0	1054	38	408	38	1054	21	1071	0	0	2	12	1.10%	78	7.14%	40	3.66%	778	71.25%	59	5.40%	6	0.55%	31	2.84%	67	6.14%
УИК №176	176	2093	2000	0	1252	17	731	17	1252	20	1249	0	0	2	15	1.18%	109	8.59%	40	3.15%	948	74.70%	56	4.41%	4	0.32%	37	2.92%	40	3.15%
УИК №177	177	1992	2000	0	1247	107	646	107	1247	18	1336	0	0	2	19	1.40%	109	8.05%	41	3.03%	972	71.79%	94	6.94%	7	0.52%	24	1.77%	70	5.17%
УИК №178	178	1800	2000	0	1148	68	784	68	1146	10	1204	0	0	2	16	1.32%	116	9.56%	25	2.06%	844	69.52%	74	6.10%	14	1.15%	38	3.13%	77	6.34%
УИК №179	179	2143	2000	0	1248	23	729	23	1245	15	1253	0	0	2	14	1.10%	147	11.59%	40	3.15%	845	66.64%	96	7.57%	6	0.47%	33	2.60%	72	5.68%
УИК №180	180	1041	900	0	740	8	152	8	740	8	740	0	0	2	8	1.07%	60	8.02%	15	2.01%	509	68.05%	85	11.36%	4	0.53%	19	2.54%	40	5.35%
УИК №181	181	1763	1300	0	1078	3	219	3	1077	21	1059	0	0	2	9	0.83%	128	11.85%	32	2.96%	710	65.74%	93	8.61%	5	0.46%	27	2.50%	55	5.09%
УИК №182	182	1124	1000	0	756	6	238	6	756	13	749	0	0	2	9	1.18%	78	10.24%	24	3.15%	503	66.01%	64	8.40%	9	1.18%	15	1.97%	47	6.17%
УИК №183	183	149	200	0	79	40	81	40	79	2	117	0	0	2	0	0.00%	12	10.08%	6	5.04%	85	71.43%	3	2.52%	2	1.68%	4	3.36%	5	4.20%
УИК №184	184	379	800	0	25	340	435	339	25	7	357	0	0	2	0	0.00%	24	6.59%	22	6.04%	283	77.75%	9	2.47%	6	1.65%	4	1.10%	9	2.47%
УИК №185	185	876	900	0	735	73	92	73	735	18	790	0	0	2	15	1.86%	50	6.19%	75	9.28%	543	67.20%	44	5.45%	6	0.74%	12	1.49%	45	5.57%
УИК №186	186	225	233	211	0	0	22	211	0	9	202	0	0	2	2	0.95%	14	6.64%	18	8.53%	131	62.09%	22	10.43%	2	0.95%	4	1.90%	9	4.27%
