UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №297	297	1793	2000	0	1363	3	634	3	1315	16	1302	0	0	14	6	0.46%	117	8.88%	86	6.53%	1023	77.62%	35	2.66%	9	0.68%	13	0.99%	13	0.99%
УИК №298	298	1673	2000	0	1340	3	657	3	1340	17	1326	0	0	14	10	0.74%	142	10.57%	73	5.44%	1020	75.95%	39	2.90%	8	0.60%	20	1.49%	14	1.04%
УИК №299	299	1744	2000	0	1317	3	680	3	1317	12	1308	0	0	14	9	0.68%	104	7.88%	56	4.24%	1085	82.20%	29	2.20%	7	0.53%	11	0.83%	7	0.53%
УИК №300	300	1780	2000	0	1435	4	561	4	1435	14	1425	0	0	14	7	0.49%	149	10.35%	77	5.35%	1127	78.32%	38	2.64%	5	0.35%	9	0.63%	13	0.90%
УИК №301	301	1798	2000	0	1355	6	639	6	1352	11	1347	0	0	14	4	0.29%	149	10.97%	74	5.45%	1038	76.44%	33	2.43%	6	0.44%	19	1.40%	24	1.77%
УИК №302	302	1875	2000	0	1139	15	846	15	1123	16	1122	0	0	14	10	0.88%	119	10.46%	30	2.64%	806	70.83%	95	8.35%	5	0.44%	24	2.11%	33	2.90%
УИК №303	303	1603	2000	0	1148	5	847	5	1146	17	1134	0	0	14	4	0.35%	139	12.08%	44	3.82%	781	67.85%	98	8.51%	7	0.61%	20	1.74%	41	3.56%
УИК №304	304	1833	2500	0	1226	6	1268	6	1222	23	1205	0	0	14	4	0.33%	150	12.21%	41	3.34%	851	69.30%	93	7.57%	4	0.33%	23	1.87%	39	3.18%
УИК №305	305	2661	3500	0	1645	11	1844	11	1645	13	1643	0	0	14	13	0.79%	190	11.47%	60	3.62%	1188	71.74%	88	5.31%	11	0.66%	36	2.17%	57	3.44%
УИК №306	306	2378	3000	0	1545	6	1449	6	1542	23	1525	0	0	14	18	1.16%	176	11.37%	69	4.46%	1103	71.25%	95	6.14%	6	0.39%	21	1.36%	37	2.39%
УИК №307	307	1860	2500	0	1254	3	1243	3	1254	19	1238	0	0	14	8	0.64%	150	11.93%	48	3.82%	863	68.66%	103	8.19%	1	0.08%	21	1.67%	44	3.50%
УИК №308	308	2919	3000	0	1829	11	1160	11	1805	30	1786	0	0	14	11	0.61%	210	11.56%	85	4.68%	1263	69.55%	123	6.77%	16	0.88%	32	1.76%	46	2.53%
УИК №309	309	1348	1500	0	948	29	523	29	948	5	972	0	0	14	1	0.10%	24	2.46%	9	0.92%	928	94.98%	3	0.31%	4	0.41%	0	0.00%	3	0.31%
УИК №310	310	1676	2000	0	1023	7	970	7	1017	15	1009	0	0	14	11	1.07%	106	10.35%	56	5.47%	724	70.70%	67	6.54%	7	0.68%	20	1.95%	18	1.76%
УИК №311	311	2044	2500	0	1290	6	1204	6	1289	14	1281	0	0	14	10	0.77%	165	12.74%	44	3.40%	896	69.19%	102	7.88%	9	0.69%	14	1.08%	41	3.17%
